Title	Description	Category
Public Health Cimate change	"For this online assignment, you are required to find THREE credible sources relating to human health effects thought to be attributable to climate change. Using information learned from the Climate Change lecture (lecture 24) as well as the three sources that you will find on your own, please complete the following:

In your own words, please name and describe three distinct health effects (diseases or syndromes) that may be directly or indirectly caused by climate change, and explain the climatic events or shifts that cause these health effects. Please find and cite three credible references for the information you provide. Credible sources include ONLY the following:

1. Peer-reviewed journal articles, from peer-reviewed academic journals

2. Review articles from peer-reviewed academic journals

I strongly suggest that you use PubMed to locate your source material for this assignment.

Grading will be based on:

1. The thoroughness with which you explain the three health effects- including (a) communication of scientific detail, (b) the extent to which you synthesize the source material in your assignment (translating the text of the article into your own words) and (c) your logical connection of the described health effects to climate-related environmental factor(s).

DO NOT QUOTE OR PLAGIARIZE YOUR PEER-REVIEWED SOURCE MATERIAL, OR ANY OTHER MATERIAL. All student submissions will be subjected to online plagiarism checking and within-class plagiarism cross-checking prior to grading.

2. The quality of the scientific journal article sources located, and the adherence to APA citation formatting. No two students may use the same set of three journal articles; any submission found to have identical sets of references / sources to previous submissions will be returned to the student for revision and resubmission. This confers an advantage to those who complete and submit the assignment early!

Your complete explanation should be 900 to 1000 words (not including name, title, and references).

YOU MUST CITE (within-text citations AND bibliographic citations) YOUR SOURCES IN APA PRINT JOURNAL FORMAT! The 6th APA format guideline one-pager (""easy-bib"") is available on the WCL course site. This assignment is to be submitted via SafeAssign in WCL- no emailed papers will be accepted"	5
Write a Report 	"write a report 10-20 sentences about each of the three topics below:
1. Compare and contrast the Black Death in Eurasia in the 14th century with smallpox disease the ravaged in the new world  in the 16th and the 17th centuries. How were they similar? How did they differ? consider especially their mortality, the areas affected, how it affected various groups of people, and how those places and peoples changed as a result if the epidemics? 
2. Compare and Contrast the Ming Dynasty and the Ottoman Empire. how were they similar? How did they differ? Consider their time periods, their rise, their fall, their geography, and how they interacted with the wider world (and each other if they did).
3. Explain the Columbian exchange. How did it start? what geographic regions did it include? what people did it include? How did the interactions work? what items and other things were involved in it? how did it change the wold? 

each question and point must be answered.    "	5
2 page project on financial aspect of small housing. 	You must reword/add in and make a formal proposal/report on small housing/micro housing based on the writings I already have on small housing/micro housing. 	5
political science short essay and short answers.	choose 3 of the 5 to answer and answer the essay question.	5
Long Term Article Writers required - INR 85/500 words  (Approx. $1.25/500 words) -- 2	"I'm looking for good and reliable writers for immediate hire for long term working relationship. 

* Rate: (in Indian Rupees) INR 85 per 500 words (INR 17 per 100 words). (Approx. $1.25/500 words $1/400 words)

 ****=>Bid with your PAST SAMPLE(S).******** ****

 -I do assure consistent bulk work with payments within 24 hour. 
 Payment via freelancer. 

 -Minimum 8 articles of 400 words required within 2 days. 
 -All articles must be in good English, informative, easy to read and Copyscape premium pass
 -Writer must be able to stay in touch and should communicate regularly, This is a continuing job for months so NO time wasters please. 

 FRESH WRITERS ARE WELCOME. Bid only if you are serious about writing. Let me know how many articles you can deliver a day.. 

 Your Bids are Welcome 

 Thanks
 -
"	4
Academic Writing 	"US American bids ONLY!
US Military Prefered.
Due on 16 Mar 0900 PST.

Briefly describe the greatest challenge to coalition success in Operation INHERENT RESOLVE . Then, thoroughly explain how that challenge could be overcome through the lens of ONE of the following joint functions (Command and Control, Intelligence, Fires, Movement and Maneuver, Protection and Sustainment). All references must be cited.Must include 200 word abstract.Body of paper must be 1200 words not counting abstract and references."	5
Need help with quick rewrite	In Search of a writer to do a quick rewrite for us. Price will be $2/500 words. Payment based on number of words.	2
Academic Writing rewrite	looking for someone to rewrite an Article and pharase it, only acadamic writer, i will pay 7$, words are 1900.	5
Article Writers/Rewriters	"We need writers/re-writers or blogger:

- who can get started immediately.
- who can write 10 articles per day on our website
- who can work 5 or 6 days/week one month long
- who have a Twitter and Facebook account
- who will post and promote every day an article from our website
- who are good with the following pay rates:

ORIGINALS: 
10 articles with 100 words for max. 10$/per hour
5 articles with 200 words for max. 10$/per hour

REWRITES: 
10 articles with 100 words for max. 5$/per hour
5 articles with 200 words for max. 5$/per hour

We are looking for:
4 English article writers
3 Spanish article writers
3 French article writers 
2 German article writers

We will put your name and surname on our ""About us"" website as ""Article Manager""!

The above rates are just for starters. With consistent excellent work you can get rewarded a pay increase in as little as a month's time. 

For those wanting to give this project a shot, please write 100 words as a sample. Those applying without samples would not be considered. 

Happy bidding!
"	1
I need you to write an academic project 	I need you to write an academic article. Academic writing 4000 worde 	5
marketing case study	marketing case study 	5
Health Promotion	Analysing a municipal public health and well being plan.	5
500-800 Words --- 20 Articles	"I need 20 Articles. 2 articles per day. Accepting criteria will be provided during an interview after you place a bid. All relevant details will also be provided. Place word understood in start of your bid.

$2 per article non negotiable."	1
Написание статей 	"travel portal in internet needs a copywriter/editor for writing articles about travelling. The main topics are : historical not well-known places, gastronomy, winery, hotels, nature, diving, trekking, hikking, safaris, kids adventures, wedding ceremonies, travel recommendations, etc.
We need native speakers/writers in English, French, German, Italian, Spanish, Russian languges.
The articles should be 3000-5000 symbols.
We need about 5-10 articles per month in each language."	1
Academic Writing hindu	"i need an essay paper ( MLA ) on ( Four Yugas: 1-Krita  2-Treta  3-Dvepara  4-Kali ) in Hinduism religion. 

 i need ( 2.5 to 3 Pages )

 i need you to use at least 4 sources, you may use any source except for any website that ends with ( .com ) 
 you can use ( .org .edu ... etc )"	5
literature review based on survey 	"I need someone to write a literature review based on a survey that I conducted. It is mostly analyzing the survey [url removed, login to view] is 3 pages. More means more tip.  

I have attached pics of the survey. The number of participants in each question is 40 people. I also attached another paper just as an example. Feel free to use it as a reference.


Please no more than $50 offers. "	5
Write some Articles 	"write about Continuous improvement and total quality management (CI and TQM). 
i need a quick article about this subject 1000 word 
i need it in 2 hours "	5
Rewrite some Articles for me 	A 4 paper article needs rephrasing asap. SISP or IT professional preferred. English professionals with some IT knowledge are accepted.	5
logistics in E-business   	"Choose and write a report about any website inside or outside country .
What is the website?	
How website began ?
How to use this website?	
How website makes money ?

Length (max. 1200 words)
Font :Times New Roman 
Font size : 12
Line Spacing : 1.5
Table of contents
Introduction
Main Body
Conclusion
References

deadline : 5 may  ( 3 days ) 
"	5
Put an Ebook in your own Words	I am going to provide all the content from an ebook. I simply need it reworded.	4
Write 4 articles about a highly addictive browser game! Urgent!	"I need 4 articles about a highly addictive browser game to be written. Each article must be at least 500 words. The browser game is [login to view URL] ([login to view URL]) similar to [login to view URL] (if you know it).

Topic 1:
=> All about [login to view URL] 
(What is it, how to play it, requirements to play it - basically general information about the game)
There are a lot of youtubers talking about it:
Information source you could use: [login to view URL]

Topic 2:
=> [login to view URL] Strategy And Tips
Tips and Strategies to reach reaching higher [login to view URL] to play [login to view URL] more efficient.
Information source you could use:
[login to view URL]
[login to view URL]

Topic 3:
=> TOP 4 GAMES LIKE [login to view URL]
[login to view URL], [login to view URL], [login to view URL], [login to view URL]
General information about those 4 games and comparison with diep.io. How many different .io games exists and what is their content?
Sources:
[login to view URL]
[login to view URL]

Topic 4:
=> What are browser games?
General information about browser games. Variants, Flash-Games and HTML5 Games. 


Those mentioned games are very popular and a lot information can be found on the internet. You can also use youtube to gather information, all lot of youtubers are talking about these games.

All content must be unique! Bid Fast. Need Writer urgently."	5
[Report][Presentation] Domain based Enterprise System	"I need a 3000 words report on following topic.
- Domain-based ES, such as ES in finance, supply chain, accounting, healthcare, customer-relationship management, knowledge management, and outsourcing
at least two of the domains need to discussed in report.

With report, I also need a power point presentation about it

I will share a bit more detail with shortlisted candidates later. "	5
Paraphrasing about 2000 words in 5 hours	I need your help in paraphrasing some content. The paper is business related. There's 2000 words that needs paraphrasing. Documents will be shared through chat.	5
Rewrite some Articles for me 	Paraphrasing the article on the attachment file [url removed, login to view]	4
Write a Report 	"Developing Business Relationships in specific country
3000 words presented in a REPORT style format "	5
Required 30 Health Related Short Articles ReWriting	"Hi,

I required some 30 short health related articles re-writing to post on my blog.

I'll give you links and you have to rewrite that for me. each articles is related to health tips and topics. need to minimum 300 words to maximum 900 words.

let me know if you can do this.

thanks
regards
kapil
"	4
"Content Writing - ""Value"""	"I need a 400 word article on the topic of ""value"".

There are two articles I found:

- [url removed, login to view]
- [url removed, login to view]

Can you please use the two above articles to write 400 words on the topic?

Please address the following points:

- What is value?
- Why is it so powerful to understand and quantify?

The audience will be business professionals. Please - no “fluff” or filler content in this writing.

The article must be 100% ORIGINAL and will be Copyscape tested.

By submitting this article, you hand FULL owner rights over to me.  "	4
Private project for an existing freelancer.	This is a private project for an existing freelancer. This is a private project for an existing freelancer. This is a private project for an existing freelancer.	3
Rewrite 500 word article	I need 500 word article rewritten. Native speakers only.	4
Need articles rewritten - health related topics	Hi, I need articles to be rewritten in health related niche. 20 articles about 2 Clickbank products. Finish the 1st ten in 10 days and the next one also in 10 days. 	1
need to write some text of 20 word	need to write some text of 20 word	2
Rewrite 30 positive and spiritual articles for me.	"Hi,

I need some 30 articles to rewrite. the topics contains positivity, spirituality, relationships, health and self development. 

I'll give links to you and you have to rewrite them.

let me know if you can do this.

thanks
regards
"	4
Write my Product Descriptions 	I have roughly 25 products that need to have descriptions and titles created for them. I also have about another 50 that only need to have titles created. The descriptions only need to be 3-4 sentences long. One thing that I would like to be in the description is the size of the product.	1
Academic Writing about Short stature in childhood	"Write overview of 4 pages about short stature in childhood
I) Introduction (definition , occurence)
II) 1 - cause
     2- effect
     3- treatment
III) Conclusion
"	5
Proofread a short report and make it eye-catching 	"I have a short report of 500 words that needs proofreading, My rate is $5 for this task. it is very technical related to software working so you must have technical background to apply on this job. Tell me how you will do this task for me.
Happy bidding 
thanks "	4
CULTURE DIVERSITY-GROUP RESEARCH PROJECT	"3 parts are required only
1. Global knowledge
Chinese Culture In Australia
Word count: 700
2. Understanding different cultural perspectives on food and food safety
Differences between such culture in mainland China and Australia
Word count: 700
3. Research on ethnic foods from this country and on-site research in a restaurant
 Apply knowledge of Australia Environmental Health Officer (E.H.O) in terms of food safety legislation.
Word count: 700"	5
Editing a Family Genealogy Book to look visually more professional	"My mum has been working on our family history for the last 3 years. She has been writing a book on early Australian History and how it ties into my family. 

The way she has set out the book is ok, but visually it looks very amateur and needs someone with a good eye to go over it and set out the content better. I have done 20 pages in InDesign of what I want the style to look like but it takes me like an hour to do 3 pages and there are about 450 pages. 

For this project I am looking for someone that is:
- really good with InDesign
- able to read the content and make sure it makes sense 
- and can tie the images provided into the pages of the book.

Thankyou! Mat."	1
Compression Socks Pt. 2	"I would like a 1000 word article on ""The Best Compression Socks For Nurses"".  This article will require some research, and should have three to five products from Amazon to compare and contrast.  Helpful if someone knows about compression levels in socks and how it would apply best for a nurse.  Maximum project value is $30 CAD."	3
Paraphrase 	Paraphrase 4 pages , written in simple english 	3
