JobID	Cost
11770269	92.80
11967257	39.10
13543787	149.96
14120114	87.73
14213435	76.02
14872012	96.87
14873647	45.80
14874126	17.45
14874312	20.58
14875652	21.49
14879411	19.73
14880442	32.50
14882071	210.14
14882432	248.96
14882699	302.30
14882947	49.33
14884629	230.72
14885590	48.20
14885778	121.76
14886142	19.31
14886982	72.33
14887433	34.10
14887497	90.43
14887715	421.90
14890220	27.95
14890562	83
14890987	39.64
14895086	34.17
14895586	76.14
14897329	78.75
14898823	47.15
14900433	49.20
14902739	134.53
14903701	367.76
14904544	31.62
14906357	29.69
14908357	24.45
14909499	67.30
14919614	63
14919805	352.20
14920234	23.20
14920470	36.76
14922292	89.10
14924253	99.96
14924469	29.41
14925734	35.05
14927507	329.90
14929003	111.40
14929636	143.48
14929731	21.98
14930413	192.10
14932128	46.48
14933404	25.53
14935028	264.55
14935046	24.74
14935671	71.19
14936085	102.77
14936893	26.99
14937336	91.74
14939208	93.17
14939941	144.53
14940111	17.59
14943599	5250.34
14944084	25.25
14944480	26.31
14946427	48.80
14946750	59.13
14947420	60.50
14949642	124.17
14950290	116.49
14950679	72.42
14951837	30.45
14952316	65.77
14952360	373.03
14952425	384.84
14953284	86.59
14953502	None
14953623	87.65
14954221	52.49
14955249	98.77
14955315	19.23
14955389	None
14955441	21.52
14955603	77.65
14955845	20.27
14955940	130.17
14956137	743.03
14957296	310.50
14957670	21.82
14958379	110.52
14959788	92.00
14960700	201.90
14961016	15.81
14961593	22995.83
14961886	7414.60
14963170	64.10
14963252	3.55
14963483	328.15
14963764	2187.56
14965007	131.10
14966011	75.29
14975991	1718.18
14976427	24585.80
14976614	27.58
14976751	352.40
14977191	27.80
14977452	None
14977480	39.86
14979334	74.50
14981404	38.76
14981756	35.83
14981902	21.67
14982837	2952.00
14983151	25917.50
14983736	3152.70
14986765	105.24
14987001	1793.85
14987386	114.05
14987439	137.50
14989431	3091.43
14990626	154.22
14991395	1847.67
14992976	2208.00
14994685	90.55
14995100	68.90
14995214	559.67
14995498	89.40
14995568	77.33
14995927	77.78
14999427	27.50
14999715	104.05
15001139	129.55
15001751	117.00
15003235	198.95
15003395	23652.30
15004037	69.00
15004098	184.25
15004524	23.45
15004556	26.30
15004568	122.85
15005390	73.75
15005501	51.38
15006004	116.40
15006072	32.19
15006085	117.25
15007036	114.62
15008154	139.23
15009288	345.35
15013056	24.67
15014417	27.81
15014543	28.12
15014889	80.19
15015459	92.30
15015522	121.85
15017561	34.70
15018583	7759.70
15019168	54320.80
15019430	25.00
15019562	30.25
15019578	422.33
15021490	30.75
15022652	137.40
15023467	98.95
15032371	235.50
15032649	321.95
15033270	48.10
15034070	295.40
15034159	90.35
15034165	113.48
15034183	106.30
15035184	255.20
15035239	1734.95
15037060	38.75
15037198	317.91
15038626	7685.00
15039303	75.85
15039490	35.70
15040432	7154.00
15041519	77.40
15042365	98.50
15042784	1879.70
15042814	80.80
15044266	439.90
15045133	101.18
15047175	34.95
15047324	198987.44
15047451	101.45
15048007	150.50
15050032	1096.50
15050775	11.00
15052329	69.33
15052616	606.25
15053562	359.54
15053910	157.70
15054783	62.55
15056801	2529.14
15057157	29.42
15057252	106.43
15058076	185.30
15059486	30.65
15063208	8049.32
15064573	None
15065088	85.82
15065305	8.14
15067776	31.86
15069719	35.25
15069748	154.78
15071370	70.12
15074787	2.14
15076598	51.75
15077813	25.00
15084289	41.00
15085508	28.70
15085901	235.50
15086070	144.50
15086268	80.33
15086395	60.20
15087156	24.28
15087194	115.90
15088239	28.50
15088333	36.09
15092004	217.46
15092152	23.89
15092422	89.00
15092472	95.71
15092849	96.48
15093823	3.09
15094276	3.33
15094775	90.55
15094832	99.85
15094855	37.38
15095953	69.57
15096044	55.00
15096062	37.33
15096752	25.33
15096886	4.17
15097676	70.80
15098465	92.39
15098569	141.30
15100375	30.38
15100716	50.57
15101065	24.40
15101356	27.31
15103168	4836.00
15103492	26.00
15103753	20.58
15104674	50.00
15104871	116.81
15105936	109.95
15106254	116.23
15106644	113.92
15107184	348.45
15107209	21.35
15107610	469.40
15107888	4.00
15108331	1486.16
15108468	324363.45
15109879	58.38
15111391	31.95
15111652	29.60
15112177	4.80
15112510	1120.08
15112820	114.05
15112879	116.60
15114245	43.05
15114253	64.25
15114953	None
15116445	27.70
15118429	None
15119009	187.00
15119065	23436.90
15120250	57.60
15120578	4.70
15121751	32.63
15123605	42.05
15126724	None
15126921	46.00
15127012	62.35
15127328	129.75
15127400	67.75
15127624	168.33
15128187	18.45
15128237	23.33
15129017	49.11
15129965	199.20
15136479	47.10
15136487	23.80
15137228	1603.17
15137836	85.70
15137991	92.85
15138950	52.62
15139587	27.24
15140103	4.50
15140323	61.40
15140836	163.40
15141866	120.20
15142416	28.38
15142853	56.25
15143641	454.38
15144192	153.86
15145111	40.35
15145161	4.50
15145550	84.17
15145553	41.86
15145557	23.38
15145673	33.65
15146223	22.38
15146364	24.71
15146651	77.20
15148090	67.71
15148156	87.33
15148267	310.40
15149858	28.67
15150228	127.19
15150853	28.75
15151077	32.07
15151362	71.75
15151506	6.88
15151570	23.25
15152248	289.00
15152843	330.81
15154011	71.75
15154244	27.69
15154841	8.00
15155018	4.55
15155125	1214.29
15155366	116.55
15156497	25.45
15158392	75.71
15159993	4.58
15161083	97.65
15161549	117.35
15162830	429.75
15163090	267.29
15163465	26.05
15163853	16481.00
15163879	1438.46
15163885	6174.85
15164019	112.62
15164557	30.05
15167899	23.00
15168169	2652.80
15168725	6837.10
15169047	2.43
15169202	6794.62
15169269	46.58
15169346	94.10
15169446	38.45
15169745	5.00
15170124	25.53
15170443	93.38
15171410	19.05
15171857	45.05
15173841	207.86
15174030	6457.65
15175687	274.64
15176557	24.38
15176954	5530.10
15177225	48.00
15178434	1085.00
15178903	34160.23
15179348	42.65
15180952	44.33
15181903	1345.00
15182388	43.00
15182418	94.60
15189265	6.10
15189377	26.70
15190025	74.50
15190745	28.45
15191141	3.75
15191823	30.10
15192079	23.33
15192091	36.14
15192099	35.45
15192235	29.70
15192312	26.15
15192930	26.43
15193240	5.86
15194627	46.80
15195188	40.33
15195457	28.05
15196374	173.76
15196654	134.45
15197308	32.89
15198453	97.00
15199321	59.00
15199680	92.80
15199739	28.33
15199884	63.50
15201840	35.70
15201917	21.94
15203990	35.05
15205976	57.71
15206855	1489.93
15207366	93.10
15207369	41.05
15207512	67.10
15207537	55.95
15208799	57.76
15209228	39.44
15209380	302.75
15210543	165.78
15211278	38.70
15212031	31.38
15212039	24.25
15212153	83.81
15212520	5.70
15212566	25.38
15213322	392.22
15213627	109.30
15215081	106.00
15215255	7124.75
15215382	27.00
15215629	40.70
15216711	954.75
15216944	63.29
15217221	7.57
15217320	5.71
15217602	1111.00
15217752	599.33
15217759	39.00
15217787	88.89
15218161	162.24
15218883	44.29
15219484	41.83
15220633	8621.70
15221678	64.69
15221693	22.83
15222408	360.82
15223560	189.65
15224666	42.25
15225153	24.38
15227434	55.00
15227648	30.62
15228132	21.35
15228472	20223.70
15228812	91.43
15229126	179.52
15229157	69.20
15230070	358.90
15230081	36.80
15230553	32.62
15230607	30.00
15231413	47.10
15232120	1246.18
