JobID	Cost
4488798	134.41
4723873	3.88
4823218	2.00
4882702	99.27
4885857	5.75
5000346	190.70
5050901	None
5058921	3.17
5089206	2.00
5112480	4.25
5220058	179.95
5356638	136.21
5492742	None
5543621	28.55
5702761	68.08
5708314	57.75
5756358	63.70
5756405	None
5789307	5.80
5837944	21.11
5884942	93.38
5949816	53.53
6023314	36.00
6039262	54.43
6042984	134.94
6144429	4.40
6147450	83.42
6152808	29.05
6194538	26.75
6199353	96.67
6269476	163.40
6275361	100.90
6382402	4.45
6399230	82.17
6404486	23.33
6421824	89.22
6422644	96.00
6457473	51.48
6560159	26.00
6568328	227.05
6571299	336.90
6575667	29.00
6592747	4.83
6634940	119.38
6746623	28.33
6750948	22.38
6755862	109.48
6764317	144.29
6765225	84.33
6780290	23.00
6784140	74.20
6811212	57.05
6811736	91.52
6839904	86.67
6846649	45.00
6858687	89.00
6871034	172.57
6871377	25.90
6873062	27.57
6873281	60.38
6880190	113.00
6885235	35.00
6890762	4.78
6893617	57.44
6907526	44.57
6965644	31.17
6976860	39.38
6985378	238.50
6985783	58.33
6990075	63.62
7001021	36.00
7003436	45.29
7007661	1144.62
7039757	19.90
7092561	113.33
7096831	27.48
7097861	41.00
7175269	85.73
7191053	None
7204675	58.00
7240605	182.36
7250154	72.43
7304790	116.33
7316397	33.00
7344568	50.00
7364093	21.92
7370921	65.00
7391538	5.85
7413482	99.35
7417065	69.22
7443117	198.65
7465493	51.62
7490825	120.93
7576818	77.70
7583697	101.20
7602955	88.48
7605263	49.60
7619096	98.88
7632186	39.67
7635756	25.25
7689983	59.50
7690133	1059.75
7705083	13.00
7715485	938.35
7715754	166.81
7716777	37.50
7717011	35.62
7717721	81.47
7727992	11.44
7732331	35.00
7734004	110.73
7738831	158.89
7754294	804.63
7767419	58.48
7767971	47.86
7771351	48.47
7771366	44.81
7771387	37.50
7771437	42.08
7773385	47.50
7776219	32.36
7778961	40.00
7783843	90.84
7787917	4.30
7796921	7.50
7810823	6.75
7827345	25.00
7827352	31.36
7832033	36.50
7833528	20.00
7846757	93.20
7858339	171.14
7859165	119.69
7862160	63.60
7883548	70.05
7908660	151.00
7913158	209.14
7914878	21.20
7919605	164.75
7919774	21.13
7951269	53.33
7954428	8.10
7956906	98.00
7963757	55.92
7972887	35.38
7996646	49.86
8033753	28.67
8048409	65.27
8067080	113.29
8076416	26.75
8083500	79.20
8089449	24.17
8111876	101.05
8112712	138.50
8113274	21.63
8128884	24.50
8129887	28.00
8134146	58.50
8159361	39.50
8186156	1079.86
8198930	22.17
8199355	54.43
8207705	27.80
8222358	78.33
8224201	88.94
8241869	43.33
8266427	28.50
8277675	36.55
8293768	6.57
8296405	36.17
8296809	15.83
8321937	8623.38
8375202	166.71
8376171	7.33
8399347	38.33
8399817	24.38
8402563	63.00
8404763	49.95
8407902	30.00
8426401	25.50
8427142	37.12
8439880	34.24
8469673	84.50
8472685	44.10
8478760	6.50
8499063	369.29
8525969	52.71
8527653	19.00
8528518	38.33
8542646	48.83
8550854	26.88
8554643	26.00
8561706	39.75
8563011	36.21
8568118	38.62
8568655	40.00
8569419	30.14
8581014	47.73
8581117	343.00
8608540	27.00
8610927	27.00
8614690	55.19
8616053	119.00
8621419	149.67
8624099	91.29
8625713	30.00
8630020	44.00
8632145	100.07
8637256	24.36
8643556	185.33
8667991	115.80
8669740	44.89
8671836	30.00
8671958	109.44
8672170	64.94
8680088	96.14
8683891	41.00
8685507	197.52
8687940	30.00
8702978	52.40
8703117	51.48
8723068	90.14
8734887	92.80
8736809	63.43
8737353	71.00
8746987	116.39
8753150	66.67
8764735	250.00
8765829	22.48
8768473	52.00
8769128	100.67
8788441	30.00
8816954	5.06
8838035	22.17
8838039	29.71
8842264	48.07
8860822	617.29
8867429	46.21
8872935	110.33
8878437	153.00
8878871	34.33
8886644	141.19
8894481	111.44
8896697	39.33
8907558	35.15
8907752	140.75
8916297	26.40
8924974	41.44
8926016	86.00
8927364	31.86
8927491	None
8931653	51.60
8947346	None
8949436	363.33
8954604	45.00
8965862	165.05
8967182	48.70
8968553	84.38
9010775	131.08
9022827	85.57
9052347	76.33
9057848	37.33
9058381	31.12
9097332	37.00
9105670	None
9122462	52.00
9136500	64.00
9136933	176.50
9201203	447.57
9203492	149.60
9231506	70.42
9232575	234.65
9233682	53.05
9236291	40.00
9236576	52.40
9239843	129.44
9252477	37.95
9264617	64.50
9280205	82.60
9313092	17.62
9324042	61.88
9354272	39.47
9364911	61.33
9433882	1420.82
9447251	21.67
9457692	39.17
9467561	27.50
9532349	11.00
9534457	46.29
9544615	2540.57
9590622	36.76
9597777	299.08
9609141	91.33
9609801	27.58
9620114	70.07
9620169	24.54
9633680	20188.24
9634180	108.14
9666462	48.90
9740368	19.50
9745592	34.67
9771611	17.18
9777627	92.73
9808094	27.50
9808244	240.60
9847482	126.75
9933182	100.00
9940564	65.73
9943557	264.91
9943687	None
9949831	15.00
9958652	24.79
9976592	133.38
9985771	31.94
10013054	None
10013109	89.00
10025144	37.50
10033222	31.93
10035044	30.00
10036220	2.00
10043991	5.67
10056434	7.08
10102458	129.55
10138512	185.38
10148059	48.90
10160500	147.33
10161940	12.36
10168020	None
10200655	82.43
10204040	30.00
10208541	173.75
10225852	47.23
10226571	148.90
10234548	55.00
10235189	43.89
10252785	34.24
10253819	36.00
10262370	157.44
10266811	460.67
10269191	99.50
10270474	2.86
10282222	18.05
10323559	111.18
10328447	37.80
10331914	78.44
10332755	24.20
10333406	95.45
10354346	31.13
10355355	76.94
10357782	71.50
10359287	103.00
10372017	121.43
10372562	135.30
10384867	53.50
10385526	96.80
10394098	136.90
10395258	18.52
10399076	145.70
10404069	42.64
10404404	83.33
10408099	120.50
10420184	29.64
10439825	136.00
10456175	49.62
10473801	37.59
10474045	136.18
10474247	132.25
10474322	35.19
10477685	69.00
10494515	165.50
10531756	52.71
10533872	146.81
10538483	117.55
10547331	119.07
10612685	119.44
10615607	24.94
10621914	30.81
10644320	100.86
10690765	139.17
10701114	119.38
10704409	121.95
10723766	137.90
10724060	114.27
10751884	195.57
10752381	391.11
10791643	1020.19
10802338	31.19
10834434	148.80
10841593	1172.90
10853030	25.15
10858470	25.00
10865954	23.38
10913168	70.00
10915712	69.95
10929828	21.27
10946036	118.67
10970848	47.86
10984812	29.30
10987570	25.33
11022001	111.48
11031875	107.50
11041200	1816.43
11099218	122.95
11115482	42.05
11137529	81.20
11151530	394.18
11198355	103.95
11220430	23.84
11227945	32.00
11237130	38.93
11237613	43.33
11254202	89.00
11292071	141.25
11296954	114.21
11298071	122.67
11315716	228.67
11327445	4.75
11343712	82.90
11347064	280.29
11359665	350.00
11366632	200.00
11367827	31.20
11384155	92.00
11404867	129.50
11417474	51.71
11440472	40.07
11454178	121.00
11461681	46.92
11488899	27.20
11496172	108.19
11552395	45.29
11557291	13.50
11561455	315.45
11564594	289.00
11578463	20.00
11579043	33.75
11581773	40.75
11596670	26.00
11597431	15.50
11619770	34.20
11620836	116.95
11648035	92.14
11657969	36.21
11676568	30.00
11688487	19.29
11688623	122.83
11705069	85.86
11705627	34.15
11745902	449.76
11753108	166.60
11763146	126.78
11763971	142.20
11788400	52.67
11801643	1113.95
11804718	135.48
11819777	500.38
11838888	162.00
11881428	75.36
11881791	174.67
11896430	107.60
11947190	38.33
11950586	90.17
11951316	39.75
11951711	44.33
11959522	60.82
11979811	91.27
11982573	121.06
12000417	77.71
12001736	119.30
12010717	55.50
12010880	57.00
12021094	32.08
12030736	382.33
12066343	198.07
12084768	95.33
12092289	150.71
12101522	104.86
12120688	181.09
12132428	156.59
12135164	67.38
12135307	78.24
12141114	147.95
12152794	150.06
12155211	306.24
12164219	32.00
12205708	43.19
12222229	67.00
12222524	133.50
12235745	230.57
12251641	71.00
12269909	42.81
12277241	38.90
12286300	36.38
12292783	46.65
12311481	97.92
